id,name,age,salary,department,joining_date
702,Harsh,51,90128.0,IT,not_a_date
862,Amit,,,,2015-09-19 00:00:00
24,Pallavi,abc,500000.0,Support,not_a_date
672,Manoj,abc,106061.0,HR,not_a_date
136,Lakshmi,43,500000.0,R&D,2024-03-13 00:00:00
941,Naveen,abc,,Support,2021-10-25 00:00:00
597,Anita,,149165.0,,not_a_date
146,Mohit,abc,101429.0,Sales,not_a_date
142,Lakshmi,abc,500000.0,Legal,not_a_date
430,Manoj,,,Management,2022-06-01 00:00:00
120,Mohit,abc,500000.0,Finance,not_a_date
246,Meera,abc,45559.0,Operations,2023-01-12 00:00:00
531,Pallavi,,,Finance,2016-05-03 00:00:00
575,Sneha,abc,39199.0,IT,2019-12-02 00:00:00
630,Manoj,53,500000.0,Marketing,not_a_date
692,Meera,37,41082.0,Marketing,2016-10-23 00:00:00
276,Kiran,24,,Legal,2019-07-27 00:00:00
737,Deepak,abc,50611.0,Finance,not_a_date
715,Aditya,,117152.0,Legal,not_a_date
711,John,56,89324.0,,2023-05-11 00:00:00
759,Riya,abc,500000.0,Legal,2019-05-28 00:00:00
722,Manoj,48,145585.0,Marketing,not_a_date
426,Naveen,20,500000.0,Management,2019-06-25 00:00:00
960,Lakshmi,abc,,Management,2021-09-27 00:00:00
517,John,,,IT,2020-10-21 00:00:00
500,Sneha,53,121523.0,Marketing,2019-11-08 00:00:00
60,Ankit,abc,,Operations,2022-03-10 00:00:00
998,Meera,39,,Finance,2022-01-27 00:00:00
172,Rakesh,abc,,Finance,2024-03-10 00:00:00
640,Isha,,,R&D,not_a_date
864,Anita,,,Finance,not_a_date
249,Isha,,,Support,not_a_date
70,Sameer,,122504.0,Management,2018-06-11 00:00:00
347,Harsh,,500000.0,Operations,2019-10-28 00:00:00
469,Nisha,,500000.0,,not_a_date
34,Aditya,abc,,R&D,2022-01-12 00:00:00
346,Anita,,87981.0,Management,not_a_date
781,Mohit,,,Legal,not_a_date
9,Lakshmi,,,Legal,2016-04-04 00:00:00
408,Raj,,39382.0,Finance,2021-06-29 00:00:00
544,Divya,53,500000.0,,2022-10-23 00:00:00
985,Kiran,51,,IT,2017-05-23 00:00:00
879,Raj,abc,500000.0,Marketing,2020-05-14 00:00:00
152,Lakshmi,41,56024.0,Management,not_a_date
976,Riya,32,,HR,not_a_date
646,Anita,44,,IT,2024-04-03 00:00:00
296,Rakesh,53,98553.0,Management,2022-10-16 00:00:00
830,Kavya,,,,not_a_date
904,Tanya,,,R&D,2019-05-17 00:00:00
321,Kiran,,500000.0,IT,not_a_date
583,Sneha,22,68642.0,Support,2017-09-14 00:00:00
222,Naveen,abc,,Finance,not_a_date
486,Harsh,,500000.0,R&D,not_a_date
42,Arjun,27,500000.0,Legal,not_a_date
867,Kunal,,500000.0,Marketing,not_a_date
364,Pallavi,52,,HR,2015-04-23 00:00:00
545,Pallavi,,122241.0,IT,not_a_date
639,Simran,,500000.0,,not_a_date
201,Suresh,55,500000.0,IT,not_a_date
261,Mohit,abc,,Marketing,2019-05-01 00:00:00
790,Manoj,,,Support,not_a_date
914,Harsh,40,500000.0,Operations,2021-07-13 00:00:00
385,Amit,abc,44282.0,IT,not_a_date
259,Sneha,36,63088.0,Finance,2017-07-17 00:00:00
117,Arjun,36,95271.0,Sales,not_a_date
190,Naveen,abc,500000.0,HR,not_a_date
75,Suresh,abc,500000.0,Sales,2020-11-30 00:00:00
659,Tanya,,108309.0,,not_a_date
370,Suresh,29,107180.0,HR,not_a_date
712,Rahul,33,,Sales,not_a_date
794,Isha,35,139793.0,IT,2018-12-14 00:00:00
130,Aditya,,142858.0,HR,2016-11-30 00:00:00
777,Arjun,,132522.0,Support,2020-11-02 00:00:00
725,Manoj,,,Management,2021-06-18 00:00:00
506,Naveen,55,,Management,2017-03-04 00:00:00
30,Mohit,59,500000.0,Marketing,not_a_date
287,Pooja,22,500000.0,Sales,not_a_date
925,Simran,20,,Legal,2016-07-25 00:00:00
827,Sneha,52,500000.0,Support,not_a_date
341,Rohan,22,107152.0,Support,2020-11-26 00:00:00
778,Amit,abc,31471.0,R&D,2022-11-03 00:00:00
802,Harsh,32,,Support,2023-09-25 00:00:00
774,Varun,,88449.0,HR,not_a_date
66,Rahul,abc,86373.0,IT,2022-05-04 00:00:00
243,Arjun,44,,Support,2017-07-17 00:00:00
410,Rahul,,41478.0,Management,not_a_date
683,Pooja,abc,500000.0,Support,not_a_date
799,Divya,abc,88646.0,,not_a_date
530,Deepak,,500000.0,IT,not_a_date
51,Anita,abc,25206.0,Finance,2017-11-04 00:00:00
330,Mohit,abc,,Operations,2022-07-09 00:00:00
184,Anita,23,500000.0,Operations,2022-10-10 00:00:00
983,Pooja,24,,R&D,2016-03-24 00:00:00
131,Anita,52,,Sales,not_a_date
924,Pooja,abc,500000.0,Legal,not_a_date
232,Amit,36,82854.0,IT,not_a_date
485,Kunal,,,R&D,not_a_date
144,Rahul,,114912.0,Marketing,2015-02-05 00:00:00
622,Simran,41,,,2023-09-27 00:00:00
180,Ankit,29,500000.0,Legal,not_a_date
286,Lakshmi,,139937.0,Legal,not_a_date
900,Nisha,,79823.0,Legal,2022-10-03 00:00:00
576,Rohan,abc,500000.0,R&D,2019-03-25 00:00:00
163,Vikram,abc,26150.0,R&D,2024-06-26 00:00:00
691,Kunal,51,500000.0,Support,not_a_date
348,Lakshmi,,,IT,not_a_date
761,Pallavi,32,500000.0,HR,not_a_date
763,Vikram,23,500000.0,Sales,2023-09-09 00:00:00
958,Suresh,abc,500000.0,Finance,not_a_date
395,Meera,25,79917.0,Sales,not_a_date
344,Nisha,27,500000.0,R&D,not_a_date
444,Rahul,abc,,R&D,2015-12-08 00:00:00
103,Isha,abc,500000.0,HR,not_a_date
633,Riya,abc,500000.0,HR,2018-01-03 00:00:00
996,Harsh,38,500000.0,Marketing,2016-11-28 00:00:00
449,Rohan,,500000.0,HR,2020-09-10 00:00:00
67,Raj,abc,,Sales,2018-07-06 00:00:00
801,Deepak,,84189.0,Sales,not_a_date
374,Rohan,,,Legal,not_a_date
299,Rohan,,81800.0,Support,not_a_date
490,Isha,,,Support,not_a_date
381,Pooja,abc,500000.0,Management,not_a_date
978,Nisha,,500000.0,IT,2021-09-26 00:00:00
932,Manoj,abc,500000.0,,not_a_date
538,Sneha,,500000.0,Management,2017-04-06 00:00:00
316,Harsh,,,R&D,2022-11-25 00:00:00
165,Priya,20,500000.0,Legal,not_a_date
594,Mohit,abc,500000.0,,2021-07-24 00:00:00
64,Kunal,abc,46976.0,Operations,not_a_date
483,Deepak,abc,500000.0,Support,not_a_date
577,Naveen,,,Finance,2020-03-28 00:00:00
211,Suresh,abc,,Finance,not_a_date
927,Harsh,,115900.0,Operations,not_a_date
812,Kavya,,142867.0,Operations,2018-06-03 00:00:00
424,Arjun,,500000.0,Finance,2024-03-22 00:00:00
951,Neha,29,59964.0,Management,not_a_date
241,Ankit,,77224.0,Legal,2021-08-31 00:00:00
72,Tanya,,500000.0,Management,not_a_date
981,Riya,abc,66321.0,,not_a_date
679,Simran,abc,500000.0,Operations,2019-09-10 00:00:00
231,Rakesh,abc,500000.0,IT,not_a_date
217,Rohan,,,HR,2023-08-07 00:00:00
11,Riya,44,,Legal,2017-12-18 00:00:00
954,Lakshmi,abc,,Support,2018-08-04 00:00:00
115,Raj,abc,83871.0,Finance,not_a_date
557,Kiran,abc,500000.0,Management,not_a_date
200,John,55,500000.0,Management,2024-03-02 00:00:00
445,Kiran,abc,46566.0,Management,not_a_date
467,Neha,27,,Operations,not_a_date
285,Anita,abc,32239.0,,2019-04-24 00:00:00
253,Pallavi,abc,36023.0,R&D,not_a_date
663,Raj,,,HR,not_a_date
992,Kunal,abc,51832.0,Marketing,2020-06-20 00:00:00
844,Vikram,35,,Marketing,not_a_date
910,John,,,Support,not_a_date
503,Rohan,47,54373.0,Marketing,not_a_date
853,Suresh,,500000.0,Legal,not_a_date
425,Naveen,abc,,HR,2018-12-01 00:00:00
769,Suresh,,,Finance,2023-08-14 00:00:00
989,Varun,,56656.0,Management,2020-11-29 00:00:00
664,Varun,,500000.0,HR,not_a_date
860,Priya,,63067.0,,not_a_date
417,Kiran,59,134777.0,Finance,not_a_date
690,Manoj,abc,,Management,not_a_date
666,Arjun,41,121347.0,Support,2022-06-13 00:00:00
637,Kunal,,,Support,2015-01-21 00:00:00
921,Raj,,51035.0,Operations,not_a_date
158,Sneha,abc,,Marketing,2022-05-27 00:00:00
554,Sameer,51,500000.0,Management,2020-03-29 00:00:00
87,Aditya,35,500000.0,Finance,2023-12-17 00:00:00
300,Varun,abc,,Operations,2016-06-25 00:00:00
550,Riya,,,Sales,2016-05-07 00:00:00
502,Rahul,abc,60737.0,Finance,2023-04-17 00:00:00
386,Mohit,33,130881.0,Operations,2022-03-06 00:00:00
250,Aditya,33,,Marketing,2018-10-28 00:00:00
498,Naveen,abc,,Operations,2024-03-12 00:00:00
894,Suresh,,500000.0,IT,not_a_date
396,Amit,26,500000.0,,not_a_date
676,Lakshmi,abc,74786.0,IT,2020-04-09 00:00:00
268,Rohan,,125497.0,Operations,2015-08-12 00:00:00
762,Priya,,,Finance,not_a_date
